Company,Market,Region,Sector,Credit rating impact,COUNTRY_RISK_MARKET_RETURN,COUNTRY_RISK_PREMIUM,COUNTRY_RISK_RFR,EPS_GROWTH,GROSS_MARGIN,IS_INT_EXPENSE,OPER_MARGIN,RISK_PREMIUM,UNLEVERED_BETA,WACC,WACC_COST_DEBT,WACC_COST_EQUITY,Total E,Total S,Total G,EAQ,EFM,EWT,EHZ,EIM,SCR,SCW,SLB,SEW,SIM,GEX,GGV,GST,GTR
"Snyder, Hurst and Anderson",Developed Markets,DM - Americas,Natural Resources,0,8.4018,6.4843,1.9175,41.6974,82.0751,173.0,7.4832,10.7833,0.0317,9.0392,1.0849,11.9221,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3
"Palmer, Rangel and Hernandez",Emerging Markets,EM - CEEMEA,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7399,0.0,9.03,8.2574,10.3055,13,14,12,3,3,1,3,3,3,3,3,2,3,3,3,3,3
Jones-Aguirre,Emerging Markets,EM - CEEMEA,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9631,0.0,11.1315,7.6474,14.5287,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3
Harris-Hill,Developed Markets,DM - Europe,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9094,0.0,7.6758,2.266,13.0844,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3
"Herrera, Daniel and West",Developed Markets,DM - Americas,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8808,0.0,5.7262,1.1143,10.018,13,11,12,3,3,1,3,3,3,1,2,2,3,3,3,3,3
Evans-Chung,Developed Markets,DM - Europe,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1949,0.0,10.0325,0.9696,12.9909,14,14,12,3,3,2,3,3,3,3,3,2,3,3,3,3,3
Scott-Bush,Emerging Markets,EM - Americas,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3274,0.0,11.0155,7.965,13.6674,13,14,12,3,3,1,3,3,3,3,3,2,3,3,3,3,3
Garcia-Wagner,Emerging Markets,EM - Asia,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4448,0.0,7.6869,2.0407,12.1658,9,14,12,1,2,1,2,3,3,3,3,2,3,3,3,3,3
Lopez-Stone,Emerging Markets,EM - Asia,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2372,0.0,6.3628,2.2335,8.9582,13,14,12,3,3,1,3,3,3,3,3,2,3,3,3,3,3
"Matthews, Long and Matthews",Emerging Markets,EM - Americas,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3274,0.0,8.2445,5.0797,13.6674,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3
Smith Inc,Emerging Markets,EM - Americas,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3274,0.0,6.454,2.887,13.6674,13,14,12,3,3,1,3,3,3,3,3,2,3,3,3,3,3
Valencia-Brown,Developed Markets,DM - Americas,Services & Communications,0,8.4018,6.4843,1.9175,41.6974,82.0751,173.0,7.4832,10.7833,0.0317,9.0392,1.0849,11.9221,9,10,12,1,3,1,1,3,1,3,3,1,2,3,3,3,3
"Sandoval, Bryant and Diaz",Developed Markets,DM - Americas,Utilities,0,8.4018,6.4843,1.9175,5.2885,47.0974,31.411,14.6688,7.7093,-0.1347,6.9061,1.3408,8.8465,13,14,12,3,3,1,3,3,3,3,3,2,3,3,3,3,3
"White, Williams and Ayala",Developed Markets,DM - Americas,Utilities,0,8.4018,6.4843,1.9175,-35.8073,69.9748,201.646,19.7909,8.8808,0.0,6.0215,1.4512,10.018,13,14,12,3,3,1,3,3,3,3,3,2,3,3,3,3,3
"Clark, Stevens and Hanson",Developed Markets,DM - Americas,Natural Resources,1,8.4018,6.4843,1.9175,94.1232,64.0375,34.937,32.6235,5.3957,-0.1941,6.2411,4.218,8.0799,15,12,13,3,3,3,3,3,3,1,3,2,3,3,3,4,3
"Hicks, Woodward and Coleman",Developed Markets,DM - Americas,Real Estate & Construction,1,8.4018,6.4843,1.9175,1.4356,26.7205,2331.0,13.423,6.7898,0.2396,5.1086,2.7214,8.7073,9,9,13,1,1,1,3,3,1,2,2,1,3,3,3,4,3
Lewis-Rivera,Emerging Markets,EM - Asia,Real Estate & Construction,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7298,0.0,3.8681,2.3907,9.4508,9,9,12,1,1,1,3,3,1,2,2,1,3,3,3,3,3
"Green, Patterson and Hartman",Developed Markets,DM - Europe,Real Estate & Construction,1,13.193,11.9161,1.2769,,8.2502,182.5322,-14.0895,,,,,,9,12,12,1,1,1,3,3,1,3,3,2,3,3,3,3,3
"Hinton, Randolph and Ball",Emerging Markets,EM - CEEMEA,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5341,0.0,9.5895,6.9306,15.0997,13,11,12,3,3,3,3,1,1,1,3,3,3,3,3,3,3
Kerr-Williams,Emerging Markets,EM - Americas,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6021,0.0,7.2892,3.2434,14.7421,13,11,12,3,3,3,3,1,1,1,3,3,3,3,3,3,3
Wright Group,Developed Markets,DM - Americas,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8808,0.0,5.6418,1.3861,10.018,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3
"Downs, Olson and King",Developed Markets,DM - Americas,Services & Communications,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8808,0.0,2.5213,1.7209,10.018,9,10,12,1,3,1,1,3,1,3,3,1,2,3,3,3,3
"Phillips, Carr and Curtis",Developed Markets,DM - Americas,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8792,0.0,5.3092,0.7695,10.018,9,14,12,1,2,1,2,3,3,3,3,2,3,3,3,3,3
Barnes-Martinez,Developed Markets,DM - Europe,Real Estate & Construction,0,9.8968,9.5787,0.3181,0.0,0.0,0.0,0.0,10.9654,0.0,0.0,0.0,0.0,9,9,12,1,1,1,3,3,1,2,2,1,3,3,3,3,3
Garcia and Sons,Developed Markets,DM - Americas,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8808,0.0,5.9011,0.8939,10.018,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3
Sanchez Inc,Developed Markets,DM - Europe,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0718,0.0,1.847,1.6493,9.2858,13,12,12,2,2,3,3,3,3,1,3,2,3,3,3,3,3
"Miller, Jacobs and Burton",Developed Markets,DM - Europe,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0752,0.0,8.8953,2.8273,14.2502,13,12,12,2,2,3,3,3,3,1,3,2,3,3,3,3,3
Lambert-Krueger,Developed Markets,DM - Americas,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8792,0.0,8.2005,0.8879,10.018,13,12,12,2,2,3,3,3,3,1,3,2,3,3,3,3,3
Haynes-Lowe,Developed Markets,DM - Asia,Natural Resources,0,11.9769,0.0,0.0,-165.5361,42.2385,0.0,2.4273,14.054,0.0,3.5621,0.7575,15.564,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3
"Collins, Perry and Davis",Emerging Markets,EM - Asia,Utilities,1,14.111,10.801,3.31,,43.5391,,23.0074,11.3928,,6.3083,1.9691,14.111,10,14,14,2,2,1,2,3,3,3,3,2,3,3,4,3,4
Hurst-Cook,Developed Markets,DM - Europe,"Retail, Consumer & Healthcare",0,11.1513,10.1508,1.0004,0.0,0.0,0.0,0.0,11.3137,0.0,7.1192,1.0992,12.1097,12,11,12,2,3,1,3,3,1,3,3,1,3,3,3,3,3
Jenkins LLC,Developed Markets,DM - Americas,Utilities,0,8.4018,6.4843,1.9175,0.0,0.0,0.0,0.0,8.8775,0.0,5.9028,1.2214,10.018,10,14,12,2,2,1,2,3,3,3,3,2,3,3,3,3,3
Hernandez-Weber,Developed Markets,DM - Europe,Utilities,0,10.4232,10.9944,-0.5712,0.0,0.0,0.0,0.0,15.8591,0.0,6.36,-0.2143,15.6241,10,14,12,2,2,1,2,3,3,3,3,2,3,3,3,3,3
"Miller, Edwards and Herrera",Emerging Markets,EM - Asia,Utilities,1,14.111,10.801,3.31,,43.5391,,23.0074,11.3928,,6.3083,1.9691,14.111,10,14,14,2,2,1,2,3,3,3,3,2,3,3,4,3,4
Stone-Brown,Developed Markets,DM - Americas,Utilities,0,9.347,7.3419,2.0051,0.0,0.0,0.0,0.0,8.7441,0.0,8.1124,1.64,9.8846,14,14,12,3,3,2,3,3,3,3,3,2,3,3,3,3,3
Bernard-Torres,Developed Markets,DM - Americas,Utilities,0,9.347,7.3419,2.0051,0.0,0.0,0.0,0.0,7.611,0.0,7.7638,1.098,8.7515,9,14,12,1,2,1,2,3,3,3,3,2,3,3,3,3,3
"Brown, Gomez and White",Developed Markets,DM - Europe,Utilities,0,11.1513,10.1508,1.0004,0.0,0.0,0.0,0.0,12.684,0.0,5.7782,1.0551,13.48,9,14,12,1,2,1,2,3,3,3,3,2,3,3,3,3,3
"Walker, Smith and Robinson",Developed Markets,DM - Europe,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0752,0.0,5.1627,1.1317,14.2502,14,14,12,3,3,2,3,3,3,3,3,2,3,3,3,3,3
Clark-Morris,Developed Markets,DM - Americas,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8808,0.0,6.8248,1.7499,10.018,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3
Harrell-Bolton,Developed Markets,DM - Americas,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8808,0.0,7.0226,0.9371,10.018,13,14,12,3,3,1,3,3,3,3,3,2,3,3,3,3,3
Wade Ltd,Developed Markets,DM - Asia,Utilities,0,11.5488,10.0368,1.512,0.0,0.0,0.0,0.0,12.0757,0.0,10.5841,1.0802,13.0407,13,14,12,3,3,1,3,3,3,3,3,2,3,3,3,3,3
Lamb PLC,Developed Markets,DM - Americas,Real Estate & Construction,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8542,0.0,4.2173,1.7707,7.8602,9,9,12,1,1,1,3,3,1,2,2,1,3,3,3,3,3
Reynolds-Marsh,Emerging Markets,EM - Asia,Natural Resources,0,11.2931,3.9425,7.3505,0.0,0.0,0.0,0.0,9.5112,0.0,9.4709,6.5687,15.8072,15,13,12,3,3,3,3,3,3,1,3,3,3,3,3,3,3
Rollins PLC,Emerging Markets,EM - Asia,Natural Resources,0,11.9167,0.0,0.0,86.9484,22.2381,12.4525,5.133,13.608,0.0,16.1113,2.5751,16.329,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3
"Weber, Patrick and Newman",Developed Markets,DM - Europe,Natural Resources,0,11.5387,10.2369,1.3018,0.0,0.0,0.0,0.0,13.6636,0.0,9.4553,0.8582,14.4596,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3
"Noble, Wood and Garza",Developed Markets,DM - Americas,Natural Resources,0,8.9464,7.2819,1.6646,0.0,0.0,0.0,0.0,11.3798,0.0,7.53,1.331,12.517,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3
"Buck, Barrett and Miller",Developed Markets,DM - Americas,Natural Resources,0,9.347,7.3419,2.0051,0.0,0.0,0.0,0.0,11.2606,0.0,9.3114,1.0756,12.3978,15,15,12,3,3,3,3,3,4,1,4,3,3,3,3,3,3
Ruiz PLC,Developed Markets,DM - Europe,Utilities,0,8.4018,6.4843,1.9175,0.0,25.1361,0.0,-22.6642,12.4323,0.0,5.1081,1.0021,13.5728,13,14,12,3,3,1,3,3,3,3,3,2,3,3,3,3,3
"Thomas, Oneill and Huerta",Developed Markets,DM - Americas,Utilities,0,8.4018,6.4843,1.9175,0.0,19.55,260.0,3.346,15.2827,0.0,11.7801,1.6748,16.4199,9,14,12,1,2,1,2,3,3,3,3,2,3,3,3,3,3
Sampson Group,Emerging Markets,EM - Americas,Utilities,1,15.3874,6.1526,9.2348,,29.3534,225.1083,-23.8203,4.1914,,15.371,15.729,13.4262,13,14,13,3,3,1,3,3,3,3,3,2,3,3,3,3,4
Ellis-Hawkins,Developed Markets,DM - Americas,Utilities,1,10.7096,8.0254,2.6842,71.9407,50.99,,7.6492,3.6199,,5.1758,4.7144,6.3041,13,14,12,3,3,1,3,3,3,3,3,2,3,3,3,3,3
Kennedy PLC,Developed Markets,DM - Europe,Natural Resources,0,8.4358,7.994,0.4418,-0.5239,65.0575,0.0,12.6188,7.7157,-0.0615,6.3718,0.8917,9.1647,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3
Hamilton-Humphrey,Developed Markets,DM - Americas,Natural Resources,0,8.4018,6.4843,1.9175,0.0,1.3175,339.0,-2.3165,7.9171,0.0,5.8322,1.3643,9.0559,13,11,12,3,3,1,3,3,3,1,2,2,3,3,3,3,3
Andrews Ltd,Emerging Markets,EM - Americas,Real Estate & Construction,0,11.0541,4.1445,6.9095,0.0,21.4613,33.5286,7.4819,3.8412,0.0,12.8592,14.0804,12.0862,9,9,12,1,1,1,3,3,1,2,2,1,3,3,3,3,3
Malone LLC,Developed Markets,DM - Americas,Utilities,0,8.4018,6.4843,1.9175,0.0,11.4064,0.0,0.3724,11.0635,0.0,8.5772,1.0287,12.2007,10,14,12,2,2,1,2,3,3,3,3,2,3,3,3,3,3
"Bauer, Carter and Wilson",Developed Markets,DM - Asia,Utilities,0,8.0932,6.3509,1.7423,51.9328,0.0,0.0,42.9679,6.9161,1.3467,5.5332,1.8438,8.5252,10,14,12,2,2,1,2,3,3,3,3,2,3,3,3,3,3
Dalton-Mills,Developed Markets,DM - Americas,Natural Resources,0,8.3929,6.5177,1.8752,0.0,0.0,0.0,0.0,5.4631,0.0,5.1618,1.1497,6.6003,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3
Harper-Cox,Developed Markets,DM - Americas,Utilities,0,8.3929,6.5177,1.8752,0.0,0.0,0.0,0.0,10.8805,0.0,10.0179,1.1619,12.0177,10,14,12,2,2,1,2,3,3,3,3,2,3,3,3,3,3
Marsh LLC,Developed Markets,DM - Americas,Utilities,0,9.347,7.3419,2.0051,0.0,0.0,0.0,0.0,10.8453,0.0,8.5926,1.3697,11.9825,10,14,12,2,2,1,2,3,3,3,3,2,3,3,3,3,3
Blake-Brown,Developed Markets,DM - Americas,Utilities,1,10.7096,8.0254,2.6842,,57.1327,673.0,-3.2194,8.0254,,7.0746,3.6909,10.7096,9,14,12,1,2,1,2,3,3,3,3,2,3,3,3,3,3
Mckee Inc,Developed Markets,DM - Americas,Utilities,0,8.9564,7.2763,1.6801,0.0,0.0,0.0,0.0,8.8861,0.0,7.6473,1.1736,10.0233,10,14,12,2,2,1,2,3,3,3,3,2,3,3,3,3,3
"Davis, Barron and Peters",Emerging Markets,EM - Americas,Natural Resources,0,11.0541,4.1445,6.9095,0.0,21.4613,33.5286,7.4819,3.8412,0.0,12.8592,14.0804,12.0862,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3
"King, Ellis and Miller",Emerging Markets,EM - CEEMEA,Natural Resources,0,12.7281,0.0,0.0,428.9711,0.0,69.4416,100.7865,6.053,-0.6347,14.433,10.0957,14.6186,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3
Jones-Evans,Developed Markets,DM - Americas,Natural Resources,1,10.3027,7.1592,3.1435,,18.2798,103.297,4.7682,6.9124,,3.6889,3.1394,10.0559,15,12,13,3,3,3,3,3,3,1,3,2,3,3,3,3,4
Jordan-Ray,Emerging Markets,EM - Americas,Natural Resources,0,11.6515,4.8641,6.7874,130.1969,53.7177,84.2014,51.9888,4.7461,1.1359,10.1272,7.7732,12.6151,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3
Massey LLC,Developed Markets,DM - Americas,Services & Communications,0,8.4018,6.4843,1.9175,-46.4435,37.5589,227.0,22.5259,10.8194,0.729,5.465,1.3291,11.9566,9,10,12,1,3,1,1,3,1,3,3,1,2,3,3,3,3
"Davis, Mcdonald and Ruiz",Emerging Markets,EM - CEEMEA,Utilities,1,14.7196,11.8943,2.8253,-35.5372,,56.3779,8.1836,11.1564,0.6809,6.8386,3.0938,13.9817,13,14,12,3,3,1,3,3,3,3,3,2,3,3,3,3,3
"Molina, Grant and Williams",Developed Markets,DM - Americas,Utilities,0,8.4018,6.4843,1.9175,-46.5986,13.1206,122.0,3.3875,12.6962,0.0,7.8728,1.754,13.8334,14,14,12,3,3,2,3,3,3,3,3,2,3,3,3,3,3
Harris-Henderson,Developed Markets,DM - Americas,Utilities,0,8.4018,6.4843,1.9175,13.4752,0.0,208.715,54.2582,8.8329,-0.0936,6.7454,0.7135,9.9734,10,14,12,2,2,1,2,3,3,3,3,2,3,3,3,3,3
Zimmerman-Miranda,Developed Markets,DM - Americas,Industrials & Transportation,0,8.4018,6.4843,1.9175,0.0,51.3761,797.0,16.877,10.7756,-0.3435,6.7149,1.3107,11.9128,11,11,12,3,2,2,3,1,1,3,3,1,3,3,3,3,3
Roberts Ltd,Developed Markets,DM - Europe,Real Estate & Construction,1,11.6833,11.5254,0.1579,43.4677,,0.7406,52.4048,7.1595,,2.1081,0.1707,7.3174,9,12,13,1,1,1,3,3,1,3,3,2,3,3,4,3,3
"Rosales, Hamilton and Paul",Developed Markets,DM - Asia,Industrials & Transportation,0,11.9769,0.0,0.0,100.8168,16.6956,272.0953,3.4096,13.7039,0.5648,4.5102,1.3591,15.2139,12,10,12,3,2,2,3,2,1,3,3,1,2,3,3,3,3
"Walker, Jackson and Petersen",Developed Markets,DM - Americas,"Retail, Consumer & Healthcare",0,8.4018,6.4843,1.9175,4.4273,30.513,421.0,15.4089,11.4535,0.3341,8.853,0.9235,12.5907,12,11,12,2,3,1,3,3,1,3,3,1,3,3,3,3,3
Cox-Santos,Developed Markets,DM - Americas,Real Estate & Construction,1,8.4018,6.4843,1.9175,40.8557,44.8924,349.3,12.9709,6.6477,0.5025,7.5139,2.093,8.5652,11,9,12,2,2,2,3,2,1,2,3,2,1,3,3,3,3
Jimenez-Sanchez,Developed Markets,DM - Americas,Industrials & Transportation,0,8.4018,6.4843,1.9175,279.7493,0.0,90.569,-5.9153,7.3639,0.3406,4.4778,1.4759,8.5011,11,11,12,3,2,2,3,1,1,3,3,1,3,3,3,3,3
White LLC,Developed Markets,DM - Americas,Services & Communications,1,8.4018,6.4843,1.9175,1.8779,64.7383,147.9,22.5981,3.7427,-0.0909,4.7848,2.4618,5.6601,9,10,12,1,3,1,1,3,1,3,3,1,2,3,3,3,3
West PLC,Developed Markets,DM - Europe,Natural Resources,1,9.9779,10.1634,-0.1855,-38.7944,30.8748,549.7368,12.5647,9.3916,0.6431,5.7821,0.8935,9.2061,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3
Mason Inc,Developed Markets,DM - Americas,Utilities,0,8.4018,6.4843,1.9175,41.6974,82.0751,173.0,7.4832,10.7833,0.0317,9.0392,1.0849,11.9221,16,14,12,4,4,2,3,3,3,3,3,2,3,3,3,3,3
Clark-Lopez,Developed Markets,DM - Americas,Natural Resources,0,8.4018,6.4843,1.9175,17.4213,26.6075,180.0,16.3628,10.6649,1.2661,10.8828,0.958,11.8054,13,12,12,3,3,3,3,1,2,1,3,3,3,3,3,3,3
Barnett-Ramos,Emerging Markets,EM - Americas,"Retail, Consumer & Healthcare",1,11.6515,4.8641,6.7874,-64.9168,32.1317,38.9707,13.4304,4.1714,-0.1424,11.0163,11.0557,10.9588,12,11,15,2,3,1,3,3,1,3,3,1,3,3,5,3,4
"Harrison, Smith and Decker",Developed Markets,DM - Americas,Natural Resources,0,8.3929,6.5177,1.8752,0.0,0.0,0.0,0.0,8.4233,0.0,9.3793,1.5681,9.5605,15,13,12,3,3,3,3,3,3,1,3,3,3,3,3,3,3
Wright-Riley,Developed Markets,DM - Europe,Natural Resources,0,8.4358,7.994,0.4418,-0.5239,65.0575,0.0,12.6188,7.7157,-0.0615,6.3718,0.8917,9.1647,15,13,12,3,3,3,3,3,3,1,3,3,3,3,3,3,3
Hernandez-Simpson,Developed Markets,DM - Americas,Utilities,0,8.4018,6.4843,1.9175,0.0,11.4064,0.0,0.3724,11.0635,0.0,8.5772,1.0287,12.2007,9,14,12,1,2,1,2,3,3,3,3,2,3,3,3,3,3
"Good, King and Fuller",Emerging Markets,EM - CEEMEA,Natural Resources,0,12.7281,0.0,0.0,428.9711,0.0,69.4416,100.7865,6.053,-0.6347,14.433,10.0957,14.6186,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3
Copeland PLC,Developed Markets,DM - Americas,Utilities,0,8.4018,6.4843,1.9175,0.0,35.4249,609.0,15.8062,8.8792,0.0,3.1104,1.5754,10.018,10,14,12,2,2,1,2,3,3,3,3,2,3,3,3,3,3
"Bell, Vaughan and Myers",Developed Markets,DM - Americas,Utilities,0,8.4018,6.4843,1.9175,41.6974,82.0751,173.0,7.4832,10.7833,0.0317,9.0392,1.0849,11.9221,10,14,12,2,2,1,2,3,3,3,3,2,3,3,3,3,3
"Love, Ibarra and Coleman",Developed Markets,DM - Europe,Utilities,1,13.2177,11.6446,1.5731,-2.71,39.1123,668.7535,15.6645,9.8163,0.2991,8.2512,1.5864,11.3894,10,14,12,2,2,1,2,3,3,3,3,2,3,3,3,3,3
"Alvarez, Gutierrez and Long",Developed Markets,DM - Americas,Generic,0,8.4018,6.4843,1.9175,97.3978,92.7776,162.0,20.0841,11.5301,0.0,7.8041,1.2787,12.6673,15,15,12,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"Baker, Singh and Grant",Developed Markets,DM - Americas,"Retail, Consumer & Healthcare",0,8.4018,6.4843,1.9175,-72.0,23.9038,36.586,6.9346,14.5599,0.1593,11.1219,1.1718,15.7004,11,11,12,2,2,2,3,2,1,3,3,1,3,3,3,3,3
Harris-Wheeler,Developed Markets,DM - Americas,Natural Resources,0,8.9493,7.2477,1.7016,176.3158,43.6715,181.488,22.6794,8.7403,0.2985,7.1074,2.2545,9.7473,13,11,12,3,3,1,3,3,3,1,2,2,3,3,3,3,3
"Bradley, Wilson and Green",Emerging Markets,EM - CEEMEA,Utilities,0,12.7281,0.0,0.0,428.9711,0.0,69.4416,100.7865,6.053,-0.6347,14.433,10.0957,14.6186,13,14,12,3,3,1,3,3,3,3,3,2,3,3,3,3,3
"Hamilton, Ferguson and Molina",Developed Markets,DM - Europe,Natural Resources,1,12.3352,10.9847,1.3505,44.3147,95.0825,101.6267,47.8214,10.9847,,6.332,1.4889,12.3352,13,11,12,3,3,1,3,3,3,1,2,2,3,3,3,3,3
"Reid, Miller and Sloan",Emerging Markets,EM - Americas,Natural Resources,1,14.3184,11.152,3.1665,-36.465,49.0387,65.2358,17.1462,11.6282,3.8099,12.392,3.8104,14.7946,13,11,12,3,3,1,3,3,3,1,2,2,3,3,3,3,3
"Jones, Hoffman and Murphy",Emerging Markets,EM - CEEMEA,Natural Resources,0,11.7195,11.3696,0.3499,85.1302,0.0,0.0,64.6406,11.2528,1.27,8.4602,0.5774,12.2988,13,12,12,3,3,3,3,1,2,1,3,3,3,3,3,3,3
Murphy-Mercado,Developed Markets,DM - Americas,Generic,0,8.4018,6.4843,1.9175,13.4752,0.0,208.715,54.2582,8.8329,-0.0936,6.7454,0.7135,9.9734,15,14,12,3,3,3,3,3,3,3,3,2,3,3,3,3,3
Gutierrez Group,Developed Markets,DM - Americas,Natural Resources,0,8.4018,6.4843,1.9175,0.0,27.2515,702.0,27.2515,7.6239,0.0,4.9312,1.6086,8.7611,13,12,12,2,2,3,3,3,3,1,3,2,3,3,3,3,3
"Johnson, Carroll and Herrera",Developed Markets,DM - Americas,Utilities,0,8.4018,6.4843,1.9175,9.5238,0.0,290.991,47.089,5.9342,0.0984,5.4902,0.6301,7.0747,10,14,12,2,2,1,2,3,3,3,3,2,3,3,3,3,3
"Roberts, Kline and Griffin",Developed Markets,DM - Europe,Utilities,0,9.3834,8.5611,0.8224,46.5196,5.6791,232.3661,-5.7635,11.7462,0.0,9.2329,1.0541,12.5422,9,14,12,1,2,1,2,3,3,3,3,2,3,3,3,3,3
"Rojas, Barnett and Kirby",Developed Markets,DM - Americas,Utilities,0,8.4018,6.4843,1.9175,13.4752,0.0,208.715,54.2582,8.8329,-0.0936,6.7454,0.7135,9.9734,13,14,12,3,3,1,3,3,3,3,3,2,3,3,3,3,3
Young-Gordon,Developed Markets,DM - Asia,Utilities,0,11.0765,9.3122,1.7643,-61.8806,37.1515,311.5464,16.0697,11.3061,-0.9355,8.4844,1.2512,12.2711,15,18,12,3,3,1,3,5,3,5,3,2,5,3,3,3,3
"Hernandez, Lynch and Pham",Developed Markets,DM - Americas,Utilities,1,8.4018,6.4843,1.9175,185.5204,6.609,142.0,-1.7778,9.5032,,5.9856,3.274,11.4207,13,14,12,3,3,1,3,3,3,3,3,2,3,3,3,3,3
Wagner Group,Developed Markets,DM - Americas,Utilities,0,8.4018,6.4843,1.9175,-24.8988,22.4721,0.0,10.9916,9.6183,1.9435,7.7593,1.0999,10.7588,13,14,12,3,3,1,3,3,3,3,3,2,3,3,3,3,3
Jackson-Snow,Developed Markets,DM - Americas,Real Estate & Construction,1,8.4018,6.4843,1.9175,40.8557,44.8924,349.3,12.9709,6.6477,0.5025,7.5139,2.093,8.5652,9,9,12,1,1,1,3,3,1,2,2,1,3,3,3,3,3
Foster LLC,Emerging Markets,EM - Americas,Utilities,0,11.6515,4.8641,6.7874,39.1592,22.1353,81.614,17.386,6.1289,0.8079,12.0335,8.5109,13.9979,10,14,12,2,2,1,2,3,3,3,3,2,3,3,3,3,3
"Turner, Miller and Morrison",Developed Markets,DM - Americas,Real Estate & Construction,0,8.4018,6.4843,1.9175,4.4273,30.513,421.0,15.4089,11.4535,0.3341,8.853,0.9235,12.5907,11,9,12,2,2,2,3,2,1,2,3,2,1,3,3,3,3
"Thomas, Mendez and Reyes",Developed Markets,DM - Americas,Utilities,0,8.4018,6.4843,1.9175,4.902,32.3925,43.2,10.0322,10.5039,1.3207,6.3271,1.1242,11.6411,10,14,12,2,2,1,2,3,3,3,3,2,3,3,3,3,3
"Bradley, Waters and Freeman",Developed Markets,DM - Americas,Real Estate & Construction,1,8.4018,6.4843,1.9175,1.8779,64.7383,147.9,22.5981,3.7427,-0.0909,4.7848,2.4618,5.6601,9,9,12,1,1,1,3,3,1,2,2,1,3,3,3,3,3
Stone-Morales,Developed Markets,DM - Americas,Industrials & Transportation,1,10.7096,8.0254,2.6842,64.3735,66.6813,221.0,22.1103,8.0254,,6.6506,2.8378,10.7096,12,10,12,3,2,2,3,2,1,3,3,1,2,3,3,3,3
Rios Inc,Developed Markets,DM - Europe,"Food, Beverage & Tobacco",0,10.9017,9.6604,1.2413,-69.7193,0.0,0.0,18.5885,9.6323,0.1488,6.9398,1.2621,11.8073,10,13,12,1,2,2,3,2,3,3,3,1,3,3,3,3,3
Gibson-Miller,Developed Markets,DM - Americas,Services & Communications,0,10.3366,7.7074,2.6293,128.9474,24.6885,2599.0,3.9255,5.5271,0.5666,5.9852,1.2823,7.0339,5,11,12,1,1,1,1,1,1,3,3,1,3,3,3,3,3
Brown-Hill,Developed Markets,DM - Americas,"Retail, Consumer & Healthcare",0,8.4018,6.4843,1.9175,19.9627,25.6702,778.0,25.2741,11.3124,-0.1969,10.3722,1.0975,12.4529,12,11,12,2,3,1,3,3,1,3,3,1,3,3,3,3,3
